,deviceName,farEndInterface,nearEndInterface,neighborDeviceName
377,SJOPA-LAS-IDFPav21-01,GigabitEthernet0,GigabitEthernet5/0/9,SJO-AP-PAV-02-11
378,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet9/9,SEPAC44F21B1A27
379,WAFIFAVNT-8AIDF-AS01,port 1,GigabitEthernet10/24,SEP0004f2f2053b
380,WA-TUKW-RFTP-002A-S81,GigabitEthernet0/0/1,TenGigabitEthernet1/1/4,WARVRTP-00002MDF-WR01
381,SJOPA-LAS-HHFOB760-01,Port 1,GigabitEthernet1/0/9,SEP188B45185BBC
382,WATKWDCNT-13A02-OS01,FastEthernet0/1,GigabitEthernet1/0/11,WSBY13B11S001
383,HCJA-4B-3750,Port 1,FastEthernet2/0/27,SEP44ADD9D49744
384,WATKWDCNT-3A13-OS01,FastEthernet0/1,GigabitEthernet1/0/28,WSBY3A2S001
385,WAVALOPNT-W1-W01,GigabitEthernet0,nullvalue,WAVALOPNT-W1-AP5F76
386,WAVALOPNT-W1-W01,GigabitEthernet0,nullvalue,WAVALOPNT-W1-APFBE0
387,WAVALOPNT-W2-W01,GigabitEthernet0,GigabitEthernet1/0/12,WAVALOPNT-W2-APDEA8
388,PJA-04-3750,Port 1,FastEthernet1/0/39,SEPF0B2E58E8A3B
389,WQDC-3B5-S001,GigabitEthernet2/0/11,GigabitEthernet0/1,WQDC3B8-R906
390,ORSTVMCNT-MB2EA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-2EA6CBA
391,WARNTS2NT-2W-W01,GigabitEthernet0,GigabitEthernet1/0/6,WARNTS2-2W-APD16E
392,ORSTVMCNT-MB3EA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-3EA7214
393,CA-LCMC-HANN-00BN-S91,GigabitEthernet1/1/1,nullvalue,CA-LCMC-HERI-00BW-S01
394,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEAED26
395,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet1/1/5,wsmc-wal2-ED32
396,CA-LCMC-JLDC-R306-S92,vmnic0,nullvalue,plch0esx03
397,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet2/1/7,wsmc-wa2w-bf5c
398,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet1/1/8,wsmc-wa2e-f801
399,WASTPMCNT-00LLF-AS01,GigabitEthernet0,GigabitEthernet1/0/4,WASTPMC-LF1E8AE
400,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet10/17,SEP00175A5B3F49
401,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet10/19,SEP70105C5E68FF
402,SJOMC-LAS-IDFPCC42-01,GigabitEthernet0,GigabitEthernet2/0/38,SJOAP-PCC4-33
403,SJOMC-LAS-IDFPCC42-01,GigabitEthernet0,GigabitEthernet2/0/35,SJOAP-PCC4-46
404,AKSEWMCNT-01MDF-AS01,GigabitEthernet0,GigabitEthernet4/0/7,AKSEWMC-FL163AE
405,SJOMC-LAS-IDFNEB-02,GigabitEthernet0,GigabitEthernet3/0/7,SJOAP-CON2-02
406,WASHRDBNT-C5IDF-AS89,TenGigabitEthernet2/1/8,GigabitEthernet3/0/49,WASHRMCNT-001M1-DS10
407,WMCC-01A-S001-VSS,GigabitEthernet0,nullvalue,WMCC-01A-D-11
408,WMCC-01A-S001-VSS,GigabitEthernet0,nullvalue,WMCC-02A-B-11
409,AAMC-JDC01-S002,e0l,GigabitEthernet1/26,NAS_PAMC-02
410,WASTPEGNT-0001A-AS01,GigabitEthernet0,GigabitEthernet5/0/44,WASTPEG-1EG7E92
411,WASTPEGNT-0001A-AS01,GigabitEthernet0,GigabitEthernet2/0/46,WASTPEG-1EG775C
412,MMGPL-LAS-MDFPL2-01,Port 1,GigabitEthernet1/0/31,SEP7001B5DD2E17
413,MMGPL-LAS-MDFPL2-01,Port 1,GigabitEthernet3/0/5,SEPC4B9CDD8F3E8
414,WATKWDCNT-3A13-OS01,FastEthernet0/24,GigabitEthernet1/0/29,WSBY2A2S001
415,WATKWDCNT-01A08-AS01,GigabitEthernet1/0/45,GigabitEthernet1/0/49,WATKWDCNT-01A02-OS01
416,CLDLV-DCS-CAGE5018-01-PRIVATE,Ethernet1/2,Ethernet1/11,CLDLV-DAS-CAGE3969-01(FOX1717H00G)
417,WASVMPKNT-1SMDF-WR02,TenGigabitEthernet2/1/4,GigabitEthernet0/0/1,WASVMPKNT-1SMDF-DS80
418,CLDLV-DCS-CAGE5018-01-PRIVATE,Ethernet2/2,Ethernet2/23,CLDLV-DAS-CAGE4021-01
419,KMC-HPLX-2960-3,GigabitEthernet0,GigabitEthernet2/0/17,WAKADHPNT-01IDF-AP0C82
420,KMC-HPLEX-3750,GigabitEthernet1/23,nullvalue,OP1-A-6513-1
